
-- Action --
+---------+------------+---------------------+--------------------+
| ID      | Activity   | Domain              | Type               |
| ACTN12  | A52        | Elevator Management | computation        |
| ACTN13  | A52        | Elevator Management | traverse           |
| ACTN14  | A52        | Elevator Management | read               |
| ACTN15  | A52        | Elevator Management | type action        |
| ACTN16  | A52        | Elevator Management | write              |
| ACTN17  | A52        | Elevator Management | decision           |
| ACTN18  | A52        | Elevator Management | signal             |
| ACTN2   | A53        | Elevator Management | read               |
| ACTN3   | A53        | Elevator Management | traverse           |
| ACTN4   | A53        | Elevator Management | read               |
| ACTN1   | A53        | Elevator Management | signal             |
| ACTN5   | A53        | Elevator Management | traverse           |
| ACTN7   | A53        | Elevator Management | traverse           |
| ACTN8   | A53        | Elevator Management | read               |
| ACTN6   | A53        | Elevator Management | select             |
| ACTN9   | A53        | Elevator Management | signal             |
| ACTN10  | A53        | Elevator Management | signal             |
| ACTN12  | A53        | Elevator Management | traverse           |
| ACTN11  | A53        | Elevator Management | signal             |
| ACTN13  | A53        | Elevator Management | signal             |
| ACTN14  | A53        | Elevator Management | decision           |
| ACTN2   | A55        | Elevator Management | traverse           |
| ACTN4   | A55        | Elevator Management | traverse           |
| ACTN5   | A55        | Elevator Management | read               |
| ACTN3   | A55        | Elevator Management | select             |
| ACTN1   | A55        | Elevator Management | signal             |
| ACTN6   | A55        | Elevator Management | signal             |
| ACTN2   | A57        | Elevator Management | traverse           |
| ACTN1   | A57        | Elevator Management | signal             |
+---------+------------+---------------------+--------------------+

-- Activity --
+--------+---------------------+
| Anum   | Domain              |
+========+=====================+
| A1     | Elevator Management |
| A2     | Elevator Management |
| A3     | Elevator Management |
| A4     | Elevator Management |
| A5     | Elevator Management |
| A6     | Elevator Management |
| A7     | Elevator Management |
| A8     | Elevator Management |
| A9     | Elevator Management |
| A10    | Elevator Management |
| A11    | Elevator Management |
| A12    | Elevator Management |
| A13    | Elevator Management |
| A14    | Elevator Management |
| A15    | Elevator Management |
| A16    | Elevator Management |
| A17    | Elevator Management |
| A18    | Elevator Management |
| A19    | Elevator Management |
| A20    | Elevator Management |
| A21    | Elevator Management |
| A22    | Elevator Management |
| A23    | Elevator Management |
| A24    | Elevator Management |
| A25    | Elevator Management |
| A26    | Elevator Management |
| A27    | Elevator Management |
| A28    | Elevator Management |
| A29    | Elevator Management |
| A30    | Elevator Management |
| A31    | Elevator Management |
| A32    | Elevator Management |
| A33    | Elevator Management |
| A34    | Elevator Management |
| A35    | Elevator Management |
| A36    | Elevator Management |
| A37    | Elevator Management |
| A38    | Elevator Management |
| A39    | Elevator Management |
| A40    | Elevator Management |
| A41    | Elevator Management |
| A42    | Elevator Management |
| A43    | Elevator Management |
| A44    | Elevator Management |
| A45    | Elevator Management |
| A46    | Elevator Management |
| A47    | Elevator Management |
| A48    | Elevator Management |
| A49    | Elevator Management |
| A50    | Elevator Management |
| A51    | Elevator Management |
| A52    | Elevator Management |
| A53    | Elevator Management |
| A54    | Elevator Management |
| A55    | Elevator Management |
| A56    | Elevator Management |
| A57    | Elevator Management |
| A58    | Elevator Management |
+--------+---------------------+

-- Activity_Input --
+-------------------+-------------+------------+---------------------+--------------+
| Parameter         | Signature   | Activity   | Domain              | Input_flow   |
+===================+=============+============+=====================+==============+
